epoch,avg_reward,avg_pipes,max_pipes,policy_loss,value_loss,entropy,steps,seconds
296,-4.050,0.000,0,0.0119,0.9366,0.4370,245,595.4
297,-0.238,0.000,0,0.0812,0.7856,0.4294,395,597.7
298,3.300,0.125,1,0.1146,0.6897,0.4212,532,600.7
299,-1.263,0.000,0,0.0901,0.8908,0.4274,355,602.8
300,0.525,0.125,1,0.1177,0.8041,0.4275,422,605.1
301,1.800,0.250,1,0.1303,0.9220,0.4240,467,607.7
302,-0.975,0.000,0,0.0144,0.9351,0.4334,367,609.9
303,-0.138,0.000,0,0.0185,0.7653,0.4393,401,612.1
304,0.862,0.125,1,0.0478,0.7925,0.4362,436,614.5
305,-1.850,0.000,0,0.0058,0.9294,0.4354,331,616.4
306,0.825,0.000,0,0.0311,0.6914,0.4398,438,618.8
307,0.212,0.000,0,-0.0051,0.7292,0.4381,414,621.2
308,0.312,0.125,1,0.0193,0.8529,0.4436,413,623.6
309,-0.763,0.000,0,-0.0607,0.8304,0.4544,375,625.7
310,-1.575,0.000,0,-0.0889,0.8814,0.4596,342,627.7
311,-2.150,0.000,0,-0.0382,0.8604,0.4661,320,629.5
312,-0.313,0.000,0,-0.0268,0.8011,0.4742,394,631.8
313,-2.150,0.000,0,-0.0406,0.9385,0.4741,320,633.7
314,-1.338,0.000,0,0.0107,0.8398,0.4714,353,636.0
315,-0.438,0.000,0,0.0445,0.7545,0.4646,388,638.5
316,0.237,0.125,1,0.0070,0.9378,0.4650,411,641.1
317,2.800,0.250,1,-0.0299,0.7722,0.4639,508,644.1
318,-3.513,0.000,0,-0.1476,1.0934,0.4618,265,645.6
319,-1.438,0.000,0,-0.0541,0.8919,0.4483,349,647.6
320,1.150,0.000,0,0.0240,0.6776,0.4491,451,650.3
321,-1.513,0.000,0,-0.0742,0.9203,0.4583,346,652.3
322,0.137,0.000,0,-0.0221,0.7131,0.4592,411,654.7
323,1.562,0.250,2,0.0698,1.2419,0.4549,459,657.5
324,-2.150,0.000,0,-0.1023,0.8442,0.4701,320,659.3
325,-4.725,0.000,0,-0.1435,1.0044,0.4889,217,660.6
326,-1.600,0.000,0,-0.0362,0.8886,0.4939,342,662.5
327,-0.675,0.000,0,0.0026,0.7596,0.4985,379,664.6
328,-0.463,0.125,1,0.0282,0.8784,0.4943,383,666.8
329,-1.313,0.000,0,0.0069,0.8247,0.4906,352,669.0
330,1.462,0.125,1,0.0514,0.7458,0.4751,458,671.7
331,-1.050,0.125,1,-0.0303,0.9223,0.4617,360,673.7
332,0.600,0.250,1,0.0154,0.8846,0.4492,421,676.2
333,-0.025,0.000,0,0.0492,0.7255,0.4366,403,678.5
334,1.937,0.250,1,0.0287,0.9762,0.4134,473,681.4
335,0.850,0.125,1,0.0709,0.7639,0.3994,434,683.9
336,1.900,0.125,1,0.0777,0.7880,0.3932,477,686.7
337,-0.713,0.125,1,0.0359,0.9094,0.3873,372,688.7
338,-1.775,0.000,0,-0.0150,0.8978,0.3815,335,690.7
339,-1.263,0.000,0,-0.1251,0.7652,0.3927,355,692.7
340,-2.163,0.000,0,0.0116,0.9572,0.4021,318,694.5
341,0.037,0.000,0,0.0621,0.7469,0.4184,406,696.9
342,-0.863,0.000,0,-0.0207,0.8464,0.4278,371,699.2
343,1.975,0.250,1,0.0286,1.0229,0.4296,475,701.8
344,0.037,0.000,0,0.0170,0.7028,0.4349,407,704.0
345,-0.738,0.000,0,-0.0529,0.7775,0.4447,375,706.1
346,-1.213,0.000,0,0.0092,0.9487,0.4456,358,708.1
347,1.400,0.250,1,0.0654,0.8904,0.4431,452,710.6
348,0.087,0.125,1,-0.0339,0.8542,0.4526,404,712.8
349,-2.088,0.000,0,-0.1019,0.8901,0.4577,322,714.6
350,-3.675,0.000,0,-0.1853,0.9495,0.4555,260,716.0
351,0.550,0.125,1,0.0500,0.9975,0.4424,423,718.4
352,0.175,0.000,0,-0.0267,0.7419,0.4441,412,720.7
353,0.337,0.125,1,-0.0001,0.8343,0.4405,415,723.1
354,1.925,0.000,0,0.0267,0.6769,0.4325,482,725.7
355,1.287,0.000,0,0.0074,0.6833,0.4193,457,728.2
356,1.787,0.125,1,0.0359,0.7033,0.4133,472,730.8
357,0.475,0.125,1,0.0826,0.8523,0.4028,421,733.2
358,-1.188,0.000,0,-0.0132,0.8522,0.4010,358,735.2
359,-2.625,0.000,0,0.0311,0.9423,0.3996,302,736.8
360,1.662,0.250,1,0.0751,1.0536,0.3912,462,739.3
361,0.425,0.000,0,0.0537,0.6986,0.4071,423,741.6
362,-2.338,0.000,0,-0.0446,0.8442,0.4239,312,743.3
363,-1.862,0.000,0,-0.0616,0.7671,0.4350,331,745.1
364,2.462,0.000,0,0.0557,0.5972,0.4381,503,747.8
365,-1.738,0.000,0,-0.0584,0.8639,0.4459,337,749.8
366,2.125,0.000,0,0.1055,0.5778,0.4381,490,752.5
367,0.300,0.000,0,0.0032,0.7700,0.4470,418,754.7
368,0.625,0.000,0,0.0291,0.7112,0.4431,430,757.1
369,-0.550,0.000,0,-0.0028,0.7928,0.4333,383,759.1
370,-0.250,0.000,0,-0.0202,0.7964,0.4273,396,761.4
371,-0.438,0.000,0,0.0177,0.8201,0.4263,388,763.5
372,-1.725,0.125,1,0.0031,0.9853,0.4158,331,765.3
373,2.512,0.250,1,0.0358,1.0472,0.4092,497,768.1
374,1.162,0.125,1,-0.0178,0.7984,0.4311,447,770.5
375,-0.700,0.000,0,-0.0331,0.8532,0.4335,379,772.6
376,-0.088,0.000,0,-0.1089,0.7946,0.4430,403,774.8
377,-1.600,0.000,0,-0.0001,0.8352,0.4506,341,776.6
378,1.975,0.000,0,-0.0345,0.6638,0.4614,484,779.5
379,-3.650,0.000,0,-0.2054,1.0537,0.4740,259,780.9
380,0.800,0.000,0,-0.0484,0.7292,0.4784,439,783.3
381,1.400,0.000,0,-0.0330,0.6419,0.4734,463,785.8
382,-0.288,0.000,0,-0.0592,0.8174,0.4760,395,788.0
383,-1.363,0.000,0,-0.0929,0.8327,0.4796,352,789.9
384,-2.663,0.000,0,-0.0176,0.9094,0.4658,298,791.5
385,2.687,0.000,0,0.0489,0.5731,0.4530,513,794.3
386,-2.238,0.000,0,0.0621,0.9378,0.4375,316,796.0
387,-0.200,0.125,1,0.0056,0.9434,0.4207,392,798.2
388,-0.988,0.000,0,0.0599,0.8301,0.4328,367,800.2
389,2.462,0.125,1,0.1166,0.8014,0.4138,500,802.9
390,-3.675,0.000,0,-0.1211,0.8475,0.4368,259,804.3
391,-1.788,0.000,0,0.0309,0.9245,0.4311,335,806.2
392,-2.000,0.000,0,-0.0216,0.8324,0.4290,327,808.1
393,0.812,0.125,1,0.0485,0.8243,0.4227,433,810.6
394,-0.813,0.000,0,0.0521,0.8124,0.4375,372,812.7
395,2.412,0.375,3,0.0310,1.3026,0.4262,487,815.6
396,-4.137,0.000,0,-0.0694,0.9192,0.4390,241,816.9
397,2.025,0.000,0,0.0314,0.6499,0.4458,486,819.7
398,1.425,0.000,0,-0.0296,0.6757,0.4607,463,822.4
399,-0.500,0.000,0,-0.0563,0.8315,0.4563,386,824.5
400,-2.975,0.000,0,-0.0216,0.9129,0.4416,287,826.1
401,-1.988,0.000,0,-0.0396,0.9223,0.4462,326,827.9
402,-0.875,0.000,0,-0.0147,0.8330,0.4445,370,829.9
